message,actual_sentiment,predicted_sentiment,sentiment_confidence,actual_sarcasm
Mere shoes ka white colour survive nahi kar raha,Negative,Positive,0.741,True
Phone notifications ka koi end nahi hai,Neutral,Positive,0.5915,True
Delivery wale ka ETA phir optimistic tha,Negative,Positive,0.9697,True
yaar cp sir ki class kab haii 🥵🥵,Negative,Neutral,0.9959,False
nahi ab positive,Positive,Negative,0.7577,False
meri delivery wale bhaiya mujhe naam se jaante hain ab 😭,Neutral,Negative,0.9879,True
bhai tu size check karke order karta hai ya bas destiny pe chhod deta hai 😂,Negative,Neutral,0.6727,True
mera wallet mujhe online shopping se zyada responsible samajhta hai 😂,Negative,Positive,0.9455,True
ye website pe “limited stock” teen hafte se chal raha hai,Neutral,Negative,0.9918,True
bhai mujhe woh black wala zyada sahi laga,Positive,Neutral,0.9755,False
mujhe lagta hai cart mein pada hua item mujhe judge kar raha hai,Neutral,Negative,0.9965,True
mera online shopping history dekh ke algorithm bhi confused hoga 😭,Neutral,Negative,0.9891,True
road pe itna paani tha ki scooter boat lag raha tha,Negative,Neutral,0.5571,True
bhai tu pahunch gaya ya abhi bhi raste ke philosophical phase mein hai? 😂,Neutral,Negative,0.8593,True
"map ne bola five minutes, reality ne bola surprise 😂",Negative,Neutral,0.5219,True
bhai wrong turn lene ka talent tera genuinely impressive hai,Negative,Positive,0.9964,True
"ticket book karte waqt seat mil gayi, ab journey pe bharosa hai",Positive,Negative,0.9872,False
bus mein meri seat pe already koi baitha tha 🙂,Negative,Positive,0.9348,True
"main nikal gaya hoon, bas ab traffic se negotiation chal rahi hai",Neutral,Negative,0.9752,False
ye sunset genuinely unreal tha,Positive,Negative,0.9835,False
meri gallery ka storage ab emotional support maang raha hai,Negative,Positive,0.9628,True
"ye photo delete mat karna, actually achhi aayi hai",Positive,Negative,0.9969,False
bhai tu har photo mein same expression kyun deta hai 😂,Neutral,Negative,0.9111,True
kal wali story dekh ke laga tu kisi aur dimension mein reh raha hai 😭,Neutral,Negative,0.9916,True
algorithm mujhe meri zarurat se zyada accurately jaanta hai 😂,Neutral,Positive,0.9579,True
mujhe notification mila aur message khola toh bas “ok” tha 🙂,Negative,Positive,0.996,True
uska status dekh ke context aur confusing ho gaya,Neutral,Negative,0.9844,False
profile picture change karte hi sabne notice kar liya,Neutral,Negative,0.9829,False
story upload karne ke baad khud hi awkward feel hone laga 😂,Negative,Positive,0.9969,True
bhai delete for everyone ka option meri jaan hai,Positive,Negative,0.8192,True
"usne message edit kar diya, ab original kya tha woh jaan na hai 😂",Neutral,Negative,0.9685,True
"ghar mein aaj aloo ke alawa kuch naya ban gaya, historic day",Positive,Neutral,0.8002,True
kitchen mein experiment karne ka confidence ingredients se zyada hai 😂,Negative,Neutral,0.8432,True
bhai tu namak taste se daalta hai ya astrology se? 😂,Negative,Neutral,0.8632,True
aaj ghar ka khana actually restaurant level lag raha tha,Positive,Neutral,0.9904,False
"fridge khola aur teen containers mile, kisi ka ownership clear nahi hai 😭",Neutral,Negative,0.8711,True
ye packet kholte hi aadha andar gir gaya,Negative,Neutral,0.9645,False
"main bas ek bite lene gaya tha, pura plate gayab ho gaya 😂",Positive,Negative,0.9851,True
fridge mein kuch interesting mila toh bata dena,Neutral,Negative,0.9542,False
bhai tu khana share karta hai ya sirf photo? 😂,Negative,Neutral,0.9769,True
bhai tera dog camera dekhte hi celebrity mode mein aa jata hai 😂,Positive,Negative,0.9234,True
"pet ko walk pe le jaana tha, woh mujhe hi walk karwa ke laaya 😂",Positive,Negative,0.9855,True
meri cat ko attention chahiye exactly jab main busy hota hoon,Negative,Neutral,0.821,False
woh puppy literally sabko follow kar raha tha 😂,Positive,Negative,0.965,False
"bhai tera pet mujhse zyada photogenic hai, unfair hai",Positive,Negative,0.9877,True
meri cat ne plant phir gira diya 🙂,Negative,Positive,0.6244,True
woh kitten itni tiny thi ki main wahi ruk gaya 😭,Positive,Negative,0.9922,False
bhai tera dog naam sunte hi acting karta hai 😂,Positive,Negative,0.9748,True
pet ke saath photo lene ki koshish ki aur usne face hi ghuma liya,Negative,Neutral,0.9869,True
bhai ye animals humse zyada attitude wale hain 😂,Neutral,Positive,0.4948,True
"payment kar di, check kar lena",Neutral,Negative,0.9591,False
"transaction successful likha aur amount deduct nahi hua, technology ka magic",Positive,Neutral,0.7056,True
cash nahi tha toh QR ne aaj meri izzat bacha li,Positive,Negative,0.7969,True
bhai change ke chakkar mein pura calculation karna pada,Negative,Neutral,0.5797,False
bhai treat tu de raha hai ya bas announcement kar raha hai? 😂,Neutral,Negative,0.9806,True
bhai tu online payment karta hai ya transaction ka ceremony rakhta hai 😂,Negative,Neutral,0.9694,True
"birthday yaad tha mujhe, bas message late ho gaya 😭",Positive,Negative,0.9866,False
surprise plan itna secret tha ki mujhe khud last moment pe pata chala 😂,Positive,Negative,0.5761,True
bhai gift pasand aaya ya polite smile thi? 😂,Neutral,Negative,0.4813,True
gift choose karna expected se zyada difficult nikla,Negative,Neutral,0.927,False
mujhe old photos dekh ke hasi bhi aa rahi hai aur embarrassment bhi 😭,Neutral,Negative,0.9854,False
old chats padh ke lag raha hai hum kitne free hua karte the,Neutral,Negative,0.9961,False
bhai 2019 wali photo abhi bhi tere paas hai? 😭,Neutral,Negative,0.6831,False
purani gallery dekhte dekhte do ghante nikal gaye 😂,Positive,Negative,0.9836,True
bhai woh phase dobara kabhi nahi chahiye,Negative,Positive,0.7063,False
bhai tune woh message itne saal se save karke rakha hai? 😭,Neutral,Negative,0.9913,True
ye old meme ab bhi funny hai unfortunately 😂,Positive,Negative,0.9956,True
bhai hum tab kitne confidently stupid the 😭,Negative,Positive,0.5914,True
aaj itni baarish hui ki balcony ka floor swimming pool lag raha tha,Negative,Neutral,0.9935,True
"clouds dekh ke laga baarish hogi, bas drama tha",Neutral,Negative,0.9029,True
"bhai window se weather cute lagta hai, bahar jao toh reality samajh aati hai 😂",Negative,Positive,0.5026,True
weather decide nahi kar pa raha kya karna hai 😂,Neutral,Negative,0.993,True
bhai phone 2% pe hai aur charger ghar pe hai 😭,Negative,Neutral,0.7913,False
"update ke baad phone aur slow ho gaya, impressive 😂",Negative,Positive,0.9584,True
battery percentage ekdum dramatic speed se gir raha hai,Negative,Positive,0.9801,True
bluetooth connect hone mein phone ko emotional support chahiye kya 😂,Negative,Neutral,0.8365,True
bhai ringtone change ki aur ab khud hi pehchaan nahi aa rahi,Neutral,Negative,0.5998,True
screen protector lagaya aur ek bubble turant aa gaya,Negative,Neutral,0.9927,True
bhai storage full hone ke baad phone ne creativity dikhani start kar di,Negative,Positive,0.9525,True
"charger mil gaya, national emergency khatam",Positive,Neutral,0.7799,True
"request accept kar li, ab next step kya hota hai 😂",Neutral,Negative,0.9683,True
bhai ye “hmm” kis emotion mein bheja hai? 😂,Neutral,Negative,0.9672,True
mujhe lagta hai woh message ka meaning main zyada analyze kar raha hoon,Neutral,Negative,0.9453,False
"bhai usne story pe react kiya, investigation shuru karo 😂",Positive,Negative,0.9648,True
bhai ek normal conversation ko overthink mat kar,Positive,Negative,0.9896,False
uska naam notification mein aate hi mood change ho gaya 😂,Positive,Negative,0.9903,False
"maine casually message kiya tha, ab pura conversation ho gaya",Positive,Neutral,0.9766,False
bhai woh “okayyy” suspicious tha 😂,Neutral,Negative,0.9369,True
bhai tujhe green flag aur good internet connection mein difference pata hai? 😂,Positive,Neutral,0.9895,True
"bhai message delete kar diya, ab toh curiosity aur badh gayi",Neutral,Negative,0.9911,True
usne bina context ek photo bheji aur chala gaya 😂,Neutral,Negative,0.8664,True
"room mein ek sock mila, doosra apparently abroad hai 😂",Negative,Neutral,0.8459,True
"mera charger kal se missing hai, suspect list ready hai 😂",Negative,Neutral,0.8173,True
bhai ek rubber band ke liye pura drawer search kar liya,Negative,Neutral,0.9848,True
bhai mera favourite pen phir gayab,Negative,Positive,0.9978,False
ek box khola aur usme woh cheez mili jo do saal se dhoond raha tha 😭,Positive,Negative,0.9642,False
mera bag literally unnecessary objects ka museum hai 😂,Neutral,Negative,0.991,True
drawer clean karne ke baad teen missing items mil gaye,Positive,Neutral,0.881,False
bhai ye old receipt kyun rakhi hui hai 😂,Neutral,Negative,0.508,True
"ek random coin mila, rich feel ho raha hai",Positive,Neutral,0.4354,True
haircut ke baad mirror ne bhi mujhe identify karne mein time liya 😂,Negative,Positive,0.8554,True
"barber ko reference photo dikhayi thi, result abstract art hai",Negative,Neutral,0.9958,True
mirror lighting aur ghar ki lighting ka breakup ho gaya,Negative,Neutral,0.6915,True
bhai woh hairstyle repeat mat karna please 😭,Negative,Neutral,0.8557,True
"new haircut pehle weird laga, ab okay lag raha hai",Neutral,Positive,0.5736,False
"bhai photo mein hair perfect tha, hawa ne sab khatam kar diya",Negative,Positive,0.9949,True
mujhe lagta hai haircut ke baad face hi different lagta hai,Neutral,Negative,0.9722,False
salon ka mirror confidence free mein deta hai 😂,Positive,Negative,0.9373,True
bhai beard line ek side se alag kyun hai 😭,Negative,Neutral,0.6406,True
bhai market mein woh exact bag mil gaya,Positive,Neutral,0.9971,False
ye store expected se kaafi bada nikla,Positive,Neutral,0.7151,False
bargaining mein main emotionally haar gaya,Negative,Positive,0.6926,True
"shopkeeper ne discount de diya, unexpected win",Positive,Negative,0.5814,False
bhai woh colour stock mein nahi hai,Negative,Neutral,0.9514,False
market mein aaj weirdly kam bheed thi,Neutral,Negative,0.8912,False
bhai ye price dekh ke ghar pe banana better lag raha hai,Negative,Neutral,0.5765,True
finally woh exact size mil gaya,Positive,Neutral,0.8903,False
bhai tu shopping karne gaya tha ya pura market adopt kar liya? 😂,Negative,Neutral,0.5777,True
market se wapas aate hue random street performance mil gaya,Positive,Neutral,0.8431,False
bhai uncle ne mujhe kisi aur ka naam leke bulaya 😭,Neutral,Negative,0.9852,True
ek aunty ne bina context advice de di 😂,Neutral,Positive,0.571,True
ek random person ne mera dropped wallet utha ke de diya,Positive,Negative,0.9563,False
mujhe galti se kisi aur ki delivery mil gayi,Neutral,Negative,0.7639,False
bhai stranger ne photo kheechne mein help kar di,Positive,Neutral,0.8621,False
ek random person ne itna specific question poocha ki main speechless tha 😂,Neutral,Positive,0.5794,True
bhai mujhe dekh ke ek dog khud paas aa gaya,Positive,Neutral,0.6903,False
stranger ka compliment pura din better kar gaya,Positive,Negative,0.5622,False
kisi ne bina reason “sorry” bola aur chala gaya 😭,Neutral,Negative,0.9919,True
"aaj bina snooze kiye uth gaya, unbelievable",Positive,Negative,0.8522,True
bhai mera phone raat bhar charging pe tha phir bhi 42% hai,Negative,Neutral,0.952,True
bhai mera brain aaj loading screen pe hai,Negative,Neutral,0.9902,True
aaj ka mood bas blanket aur silence wala hai,Neutral,Negative,0.9268,False
mujhe random midnight ideas aate hain aur subah sab stupid lagte hain,Neutral,Negative,0.9916,True
kuch din bas bina explanation ke weird hote hain,Neutral,Negative,0.986,False
aaj literally kuch bhi plan nahi hai aur achha lag raha hai,Positive,Negative,0.9958,False
bhai tu kabse itna punctual ban gaya? suspicious hai 😂,Positive,Negative,0.9837,True
aaj sab log strangely energetic lag rahe hain,Neutral,Positive,0.8472,False
bhai tera memory selective hai ya subscription based? 😭,Negative,Neutral,0.9964,True
tu bina context ke itna confidently bolta kaise hai,Negative,Neutral,0.9266,True
bhai mujhe pehle hi pata tha tu ye karega 😂,Neutral,Negative,0.9726,True
tu har situation ko joke bana deta hai 😭,Positive,Negative,0.9914,False
"mujhe laga tu serious hai, phir tera face dekha 😂",Positive,Negative,0.6749,True
ek random song sunke pura purana phase yaad aa gaya,Neutral,Positive,0.9824,False
bhai ye gaana unnecessarily addictive hai 😭,Positive,Negative,0.9842,False
maine ek song skip kiya aur next bhi same vibe ka aa gaya 😂,Neutral,Negative,0.9934,True
ek hi gaana repeat pe sun raha hoon since morning 😭,Neutral,Negative,0.9888,False
ye old song abhi bhi vibe deta hai,Positive,Negative,0.9652,False
headphones lagate hi duniya se logout ho jata hoon,Positive,Negative,0.9948,True
meri playlist mein mood ka koi consistency nahi hai,Neutral,Positive,0.5421,True
ye song sunke automatically window dekhne ka mann karta hai 😭,Positive,Negative,0.9631,True
bhai sad song sunke sad hone ki zarurat nahi hai 😂,Neutral,Positive,0.9242,True
"bhai app khola tha ek minute ke liye, 45 minute kaise ho gaye",Negative,Neutral,0.6333,True
internet gaya aur ghar mein sab suddenly ek doosre se baat karne lage 😂,Positive,Negative,0.7736,True
mujhe lagta hai mera phone mujhse zyada busy hai,Neutral,Negative,0.9788,True
ek notification ne pura mood change kar diya,Positive,Negative,0.9451,False
bhai tu sach mein uss haircut ko good bol raha hai? 😂,Negative,Positive,0.8904,True
"ye colour pehle weird laga tha, ab actually achha lag raha hai",Positive,Negative,0.8882,False
honestly aaj ka look unexpectedly sorted lag raha hai,Positive,Negative,0.9632,False
bhai aaj neighbour ke ghar se itni loud laughter aa rahi thi ki context jaanne ka mann ho gaya 😂,Neutral,Positive,0.5044,True
meri colony mein aaj kisi ne pura balcony fairy lights se bhar diya,Positive,Negative,0.5958,False
bhai lift mein ek uncle ne bina reason weather discuss karna start kar diya 😭,Neutral,Negative,0.8533,True
saamne wale ghar ka dog mujhe dekhte hi roz announcement karta hai,Negative,Positive,0.9336,True
aaj gali mein ek chhota sa puppy mere peeche aa gaya tha 🥹,Positive,Neutral,0.6704,False
subah se saamne wale ghar mein shaadi-level decoration chal raha hai 😂,Neutral,Positive,0.8744,True
building mein aaj itni silence hai ki suspicious lag rahi hai 😭,Neutral,Negative,0.995,True
bhai lift ka button kisi ne 14 baar press kiya tha 😂,Negative,Neutral,0.552,True
"aaj colony mein street musician aaya tha, surprisingly achha bajata hai",Positive,Neutral,0.8805,False
bhai parking ko leke phir kisi ki diplomatic meeting chal rahi hai 😭,Negative,Neutral,0.7336,True
building ke entrance pe kisi ne tiny plant exchange corner bana diya,Positive,Neutral,0.9974,False
"bhai kisi ne meri old nickname se bula diya, flashback aa gaya 😭",Neutral,Negative,0.9904,False
purane friend se baat karke laga kuch cheezein bilkul nahi badalti,Positive,Negative,0.6868,False
bhai hum dono ko abhi bhi wahi stupid joke funny lagta hai 😭,Positive,Negative,0.9604,False
bhai uska contact name abhi bhi purane nickname se saved hai 😂,Neutral,Positive,0.9684,True
old friend ne ek random photo bheji aur pura context yaad aa gaya,Positive,Neutral,0.9091,False
bhai reunion plan ban raha hai apparently 👀,Positive,Negative,0.9714,False
uski voice sunte hi pata chal gaya kaun hai,Positive,Negative,0.8024,False
bhai family group mein kisi ne good morning ke saath 9 photos bhej di 😭,Neutral,Positive,0.3504,True
"bhai kisi ne group mein 2018 ka photo daal diya, chaos guaranteed 😂",Neutral,Negative,0.6982,True
family group ka notification count dekh ke dar lag raha hai,Negative,Neutral,0.985,True
bhai kisi ne random motivational quote subah 6 baje bheja,Neutral,Positive,0.9167,True
family group mein sabne ek hi message pe alag reactions diye 😂,Neutral,Negative,0.8624,True
family group mein aaj sab ek hi joke pe has rahe hain,Positive,Negative,0.9555,False
bhai kisi ne good night sticker subah bheja hai 😂,Neutral,Positive,0.9897,True
bhai kisi ne bina context apni selfie daal di 😂,Neutral,Negative,0.9565,True
bhai ab group mein sticker war hone wali hai 😭,Neutral,Negative,0.9935,True
bhai usne portrait itni jaldi bana diya ki main confuse ho gaya,Positive,Negative,0.9884,False
mujhe drawing karte karte pata hi nahi chala kitna time ho gaya,Positive,Negative,0.9882,False
bhai meri sketch aur original object ka koi relation nahi hai 😂,Negative,Neutral,0.8213,True
bhai uska handwriting dekh ke jealousy ho rahi hai,Positive,Negative,0.986,True
random notebook pe doodle banate banate pura page bhar diya,Positive,Negative,0.5557,False
mujhe random stationery dekh ke unnecessary happiness hoti hai 😭,Positive,Negative,0.9701,False
bhai fancy pens collect karke main unhe use hi nahi karta 😂,Neutral,Negative,0.9347,True
mujhe board games ka unnecessary competitive side pasand hai 😂,Positive,Negative,0.9855,True
bhai main game jeetne se zyada rules explain karne mein haar gaya,Negative,Neutral,0.9221,True
aaj board pe ek move ne pura scene badal diya,Positive,Negative,0.9575,False
aaj ek street performance dekha jahan crowd khud participate kar raha tha,Positive,Neutral,0.9796,False
bhai woh magician actual mein kaise kar raha tha 😭,Positive,Neutral,0.9348,False
random performance ne pura mood improve kar diya,Positive,Neutral,0.5588,False
bhai crowd se zyada ek uncle enjoy kar rahe the 😭,Positive,Negative,0.5967,True
bhai us magician ne meri aankhon ko personally insult kar diya 😂,Positive,Negative,0.9805,True
mujhe abhi tak samajh nahi aaya trick kaise hua,Neutral,Positive,0.8058,False
woh dancer itna energetic tha ki main dekh ke tired ho gaya 😭,Positive,Negative,0.7271,True
bhai ek uncle ne beech mein khud performance start kar di 😭,Positive,Neutral,0.9212,True
bhai maine plant ko paani diya aur woh aur sad lag raha hai 😭,Negative,Positive,0.9759,True
bhai balcony mein tiny garden banane ka mann hai,Positive,Neutral,0.991,False
woh flower unexpectedly bloom kar gaya,Positive,Neutral,0.6902,False
"bhai maine seed lagaya tha, ab actual plant aa gaya 😭",Positive,Negative,0.7786,False
"gardening videos dekhna easy hai, actual gardening nahi 😂",Negative,Neutral,0.9352,True
"new pot aa gaya, ab plant ko bhi upgrade milega 😂",Positive,Negative,0.6667,True
mujhe indoor plants ka setup genuinely pasand aa raha hai,Positive,Negative,0.9751,False
"bhai maine bas taste karna tha, pura bowl finish ho gaya 😂",Positive,Negative,0.7241,True
mujhe lagta hai presentation se food ka taste 20% better lagta hai 😂,Positive,Negative,0.9842,True
ye sauce har cheez ke saath unexpectedly achha lag raha hai,Positive,Neutral,0.7074,False
bhai maine recipe follow ki aur phir bhi result alag aa gaya 😂,Negative,Positive,0.8448,True
"mujhe laga ye combination impossible hai, but it works 😭",Positive,Negative,0.8732,False
bhai ek bite ke baad decide ho gaya ki ye repeat nahi karna,Negative,Neutral,0.4683,True
bhai taste test ke naam pe pura packet finish kar diya 😂,Positive,Negative,0.7187,True
aaj randomly astrology wali conversation start ho gayi,Neutral,Positive,0.6038,False
bhai mera lucky number bhi aaj kaam nahi aaya 😂,Negative,Positive,0.9884,True
bhai internet ne mujhe phir bata diya main kaunsa fictional character hoon 😭,Neutral,Negative,0.9896,True
woh compatibility result dekh ke sab hasne lage 😂,Positive,Negative,0.9505,True
mujhe aise random quizzes unnecessarily entertaining lagte hain,Positive,Negative,0.9681,False
bhai personality test ne mere baare mein zyada confidence se bola,Neutral,Positive,0.9976,True
mujhe lagta hai internet ke quizzes bas humari curiosity exploit karte hain 😂,Neutral,Negative,0.9948,True
maine prediction ignore ki aur phir wahi cheez ho gayi 😭,Neutral,Negative,0.9938,True
bhai astrology discussion kab serious ho gayi pata hi nahi chala,Neutral,Positive,0.7516,False
random quiz ne pura group discussion start kar diya 😂,Positive,Negative,0.9767,True
old objects dekh ke samajh aata hai technology kitni change hui,Neutral,Negative,0.9856,False
bhai woh radio abhi bhi working condition mein tha 😭,Positive,Neutral,0.6495,False
bhai ye machine dekh ke samajh hi nahi aa raha kaam kya karti thi 😂,Neutral,Negative,0.9394,True
aaj ek antique clock dekhi jo still chal rahi thi,Positive,Neutral,0.9965,False
bhai purani cheezon mein unnecessary character hota hai 😂,Positive,Negative,0.968,True
bhai woh old telephone dekh ke laga movie set hai 😭,Positive,Negative,0.7678,True
old maps dekh ke travel ka alag hi feel aata hai,Positive,Negative,0.9624,False
aaj random historical object ne mera attention pakad liya,Positive,Neutral,0.7684,False
kite ke peeche bhaagte hue log dekh ke hasi aa rahi thi 😂,Positive,Negative,0.9905,True
bhai ek kite tree pe permanently settle ho gayi 😂,Negative,Neutral,0.7261,True
bhai terrace pe jaake pata chala sab already expert hain 😭,Negative,Neutral,0.5573,True
aaj ek book randomly mili aur first page hi interesting tha,Positive,Neutral,0.6432,False
maine ek chapter padha aur phir rukne ka mann hi nahi hua,Positive,Negative,0.9459,False
bhai ending ne pura mood change kar diya 😭,Positive,Negative,0.9952,False
book interesting hai but pace thoda slow hai,Neutral,Negative,0.5186,False
maine spoiler avoid karne ke liye internet se distance bana liya 😂,Positive,Negative,0.8073,True
"mujhe laga story predictable hogi, but nahi",Positive,Neutral,0.9965,False
"bhai villain ka point samajh aa raha hai, problem hai 😂",Neutral,Negative,0.8739,True
story mein ek twist ne sab change kar diya,Positive,Negative,0.5153,False
bhai us fact ka mujhe bilkul idea nahi tha,Positive,Neutral,0.8272,False
internet pe random facts rabbit hole start ho gaya 😂,Neutral,Negative,0.9818,True
bhai ye information useless hai but strangely interesting 😭,Positive,Negative,0.9041,True
mujhe random history facts unnecessarily addictive lagte hain,Positive,Negative,0.993,False
bhai ek video ne pura perspective change kar diya,Positive,Negative,0.9159,False
"maine bas ek fact search kiya tha, ab 14 tabs open hain 😂",Neutral,Negative,0.6644,True
ye documentary expected se emotional nikli,Positive,Negative,0.9684,False
bhai narrator ki voice hi itni calming hai 😭,Positive,Negative,0.7176,True
"mujhe laga topic boring hoga, actually kaafi interesting tha",Positive,Negative,0.9053,False
bhai internet pe curiosity ka koi end nahi hai 😂,Neutral,Positive,0.8866,True
aaj ek strange fact pata chala aur ab sabko bata raha hoon,Positive,Negative,0.9863,True
plan last minute change hua but honestly better ho gaya,Positive,Neutral,0.9366,False
"mujhe laga plan cancel hoga, suddenly sab ready the 😂",Positive,Negative,0.9735,True
bhai itinerary dekh ke lag raha hai hum vacation nahi marathon karne ja rahe hain,Negative,Neutral,0.6564,True
mujhe last-minute plans unexpectedly pasand aane lage hain,Positive,Negative,0.987,False
plan change hua aur actually timing better ho gayi,Positive,Neutral,0.6508,False
kisi ne weather check kiya tha ya bas optimism tha? 😂,Negative,Neutral,0.9445,True
bhai itinerary mein free time naam ki cheez hi nahi hai,Negative,Neutral,0.9948,True
aaj unexpectedly kisi naye place pe pahunch gaye,Positive,Neutral,0.5924,False
mujhe laga sab cancel karenge but surprisingly everyone showed up,Positive,Negative,0.7284,False
bhai plan ke screenshots hi 20 ho gaye hain 😭,Neutral,Negative,0.9841,True
bhai meri umbrella kisi aur ke saath exchange ho gayi lagta hai 😂,Neutral,Negative,0.9233,True
kisi ne meri bottle galti se le li aur phir wapas de di,Neutral,Negative,0.9835,False
aaj random coincidence hua aur main shock ho gaya,Positive,Neutral,0.9028,False
bhai hum dono same time same thought bol diye 😭,Positive,Negative,0.4044,False
ek stranger exactly wahi book carry kar raha tha jo main padh raha hoon,Positive,Neutral,0.9852,False
aaj ek hi colour ke teen cars continuously dikhe 😂,Neutral,Negative,0.9688,True
bhai jis person ke baare mein baat kar rahe the wahi saamne aa gaya 😭,Neutral,Negative,0.9772,True
maine kisi ko message karne ka socha aur uska message aa gaya,Positive,Neutral,0.9548,False
ek stranger ka outfit exact mere jaisa tha 😭,Neutral,Negative,0.9129,True
jis shop ka naam discuss kar rahe the wahi saamne aa gayi 😂,Positive,Negative,0.9886,True
coincidence ne aaj unnecessary entertainment provide kiya,Positive,Negative,0.9761,True
bhai universe kabhi kabhi overdramatic ho jata hai 😭,Neutral,Negative,0.99,True
"kisi ne mere shoes notice kiye, unexpected tha",Positive,Neutral,0.781,False
aaj stranger ne bola colour achha lag raha hai,Positive,Negative,0.6007,False
mujhe compliment accept karna abhi bhi awkward lagta hai,Neutral,Negative,0.8119,False
bhai stranger ne mera fallen paper collect kar diya 😭,Positive,Negative,0.9835,False
bhai mujhe laga woh sarcasm tha but apparently compliment tha 😭,Neutral,Negative,0.9054,True
aaj ek stranger ne directions itni clearly explain ki,Positive,Neutral,0.6719,False
bhai random kindness ne pura mood shift kar diya,Positive,Negative,0.9541,False
bhai duniya kabhi kabhi decent bhi ho jaati hai 😂,Positive,Negative,0.9773,True
aaj ek weird dream yaad reh gaya 😭,Neutral,Negative,0.9719,False
bhai mere dream ka plot kisi web series se bhi random tha,Neutral,Negative,0.6687,True
sapne mein main kisi unknown city mein tha 😂,Neutral,Negative,0.6498,False
mujhe dream ka ending abhi tak samajh nahi aaya,Neutral,Positive,0.9962,False
"aaj subah dream yaad tha, ab completely disappear ho gaya",Neutral,Negative,0.9901,False
"dream mein sab logical tha, uthte hi nonsense lagne laga 😂",Neutral,Negative,0.9912,True
random dream ne pura mood weird kar diya,Neutral,Negative,0.9839,False
mujhe lagta hai brain raat ko apni marzi chalata hai 😂,Neutral,Negative,0.9937,True
sapne mein impossible cheez normal lag rahi thi 😂,Neutral,Negative,0.8711,True
bhai brain ne random characters cast kar diye,Neutral,Negative,0.9192,True
aaj ek old dream suddenly yaad aa gaya,Neutral,Positive,0.9973,False
bhai sapne mein bhi phone use kar raha tha 😭,Neutral,Negative,0.9708,True
dream ka plot explain karun toh khud hi weird lagta hai,Neutral,Negative,0.9956,True
mujhe ek dream ka location strangely familiar laga,Neutral,Positive,0.9973,False
mujhe kisi perfume se ek purani jagah yaad aa gayi,Neutral,Negative,0.5425,False
bhai smell aur memories ka connection weirdly strong hota hai,Neutral,Positive,0.992,False
aaj ek random sound se pura old scene yaad aa gaya,Neutral,Positive,0.9891,False
bhai woh old ringtone sunke time travel ho gaya 😭,Positive,Negative,0.5115,True
mujhe old festivals ki woh specific smell yaad aa gayi,Positive,Neutral,0.6455,False
random memory literally out of nowhere aa gayi,Neutral,Positive,0.5479,False
bhai ek old advertisement ka tune abhi bhi brain mein saved hai 😂,Neutral,Negative,0.7944,True
"mujhe ek purani jagah ka exact smell yaad hai, weirdly",Neutral,Positive,0.4299,False
mujhe ek old nickname kisi ne bola aur instantly past yaad aa gaya,Positive,Negative,0.9382,False
bhai memories ka timing bhi ajeeb hota hai 😂,Neutral,Positive,0.9966,True
aaj bina reason ek purana moment yaad aa gaya,Neutral,Positive,0.9984,False
bhai maine aaj ek naya word suna aur ab woh weird lag raha hai 😂,Neutral,Negative,0.9607,True
kisi ne itna formal word use kiya ki conversation suddenly official lagne lagi,Neutral,Negative,0.575,True
aaj ek new slang seekhi,Positive,Neutral,0.9396,False
aaj kisi ne mujhe ek local saying samjhayi,Positive,Neutral,0.851,False
"bhai literal translation mat karna, meaning hi change ho jayega 😂",Neutral,Negative,0.893,True
bhai aaj moon unusually bright lag raha tha,Positive,Neutral,0.6925,False
moon dekh ke random photos lene ka mann kar gaya 😂,Positive,Negative,0.982,True
sky dekhte dekhte time ka pata hi nahi chala,Positive,Neutral,0.8674,False
bhai ek cloud bilkul elephant jaisa lag raha tha 😭,Positive,Negative,0.8977,True
stars count karne ka patience mere paas nahi hai 😂,Neutral,Negative,0.9128,True
sunset itna bright tha ki photo bhi proper nahi aa rahi,Positive,Negative,0.433,False
mujhe night sky dekhna unnecessarily calming lagta hai,Positive,Negative,0.9799,False
bhai sky dekh ke pata chala weather actually clear hai,Positive,Neutral,0.9634,False
random cloud formation ne mera attention le liya 😂,Positive,Negative,0.7501,True
aaj stars city ke beech bhi visible the,Positive,Neutral,0.9908,False
bhai nature free mein itna content de raha hai 😭,Positive,Negative,0.9935,True
"random ticket stub mila, memory instantly activate ho gayi",Positive,Neutral,0.6274,False
mujhe old handwritten lists dekhna weirdly interesting lagta hai,Positive,Negative,0.8363,False
bhai ek purani key mili aur ab curiosity ho rahi hai kiski thi 😂,Neutral,Negative,0.4911,True
bhai drawer mein memories ka archaeological site mil gaya 😭,Neutral,Negative,0.9626,True
old ticket dekh ke pura journey yaad aa gaya,Positive,Negative,0.9542,False
random old receipt ne unnecessary nostalgia de diya 😂,Positive,Negative,0.9872,True
old sticker dekh ke pata nahi kyun hasi aa gayi,Positive,Negative,0.9679,False
bhai ye box itne saal se kyun rakha hua hai 😂,Neutral,Negative,0.8797,True
ek old note mila jo ab bhi funny hai,Positive,Negative,0.9566,False
drawer clean karte hue unexpected memories milti rehti hain 😭,Neutral,Positive,0.9897,False
bhai old tickets throw karne ka mann hi nahi karta,Neutral,Negative,0.9271,False
random object ne aaj pura memory lane open kar diya,Positive,Negative,0.984,False
