message,actual_sentiment,predicted_sentiment,sentiment_confidence,actual_sarcasm,predicted_sarcasm,sarcasm_confidence
"bhai photo mein hair perfect tha, hawa ne sab khatam kar diya",Negative,Positive,0.9949,True,False,0.9982
mujhe lagta hai haircut ke baad face hi different lagta hai,Neutral,Negative,0.9722,False,False,0.9983
salon ka mirror confidence free mein deta hai 😂,Positive,Negative,0.9373,True,True,0.8645
bhai beard line ek side se alag kyun hai 😭,Negative,Neutral,0.6406,True,False,0.9532
haircut ke baad old photos dekhna illegal hona chahiye 😂,Negative,Negative,0.9861,True,False,0.8416
bhai market mein woh exact bag mil gaya,Positive,Neutral,0.9971,False,True,0.7043
shopkeeper ne price bataya aur main bas smile karke nikal gaya 😭,Negative,Negative,0.9122,True,False,0.9535
ye store expected se kaafi bada nikla,Positive,Neutral,0.7151,False,False,0.99
bhai “last piece” bolke dusra bhi nikal aaya 😂,Negative,Negative,0.8816,True,False,0.9866
bargaining mein main emotionally haar gaya,Negative,Positive,0.6926,True,True,0.9399
"shopkeeper ne discount de diya, unexpected win",Positive,Negative,0.5814,False,True,0.9825
"mujhe bas ek cheez leni thi, teen bags lekar nikla 😭",Negative,Negative,0.9942,True,False,0.9952
bhai woh colour stock mein nahi hai,Negative,Neutral,0.9514,False,True,0.9488
market mein aaj weirdly kam bheed thi,Neutral,Negative,0.8912,False,False,0.8384
shop mein music itna loud tha ki product ki awaaz nahi aa rahi thi 😂,Negative,Negative,0.9896,True,False,0.9384
bhai ye price dekh ke ghar pe banana better lag raha hai,Negative,Neutral,0.5765,True,False,0.9986
finally woh exact size mil gaya,Positive,Neutral,0.8903,False,True,0.9646
cashier ne change diya aur mujhe mathematical test de diya 😭,Negative,Negative,0.9901,True,False,0.9328
bhai tu shopping karne gaya tha ya pura market adopt kar liya? 😂,Negative,Neutral,0.5777,True,False,0.9788
market se wapas aate hue random street performance mil gaya,Positive,Neutral,0.8431,False,True,0.9867
bhai parking spot milna aaj jackpot tha,Positive,Positive,0.9446,True,False,0.9945
"jo cheez lene gaya tha woh nahi mili, random cheez le aaya 😂",Negative,Negative,0.9873,True,False,0.9869
bhai uncle ne mujhe kisi aur ka naam leke bulaya 😭,Neutral,Negative,0.9852,True,False,0.994
ek aunty ne bina context advice de di 😂,Neutral,Positive,0.571,True,False,0.8487
stranger ne direction poochi aur main khud confuse tha 😭,Negative,Negative,0.9687,True,False,0.5374
ek random person ne mera dropped wallet utha ke de diya,Positive,Negative,0.9563,False,False,0.996
"bhai us uncle ka confidence dekh, map ke bina pura route bata diya 😂",Positive,Positive,0.8475,True,False,0.9738
mujhe galti se kisi aur ki delivery mil gayi,Neutral,Negative,0.7639,False,False,0.9988
bhai stranger ne photo kheechne mein help kar di,Positive,Neutral,0.8621,False,False,0.9969
ek random person ne itna specific question poocha ki main speechless tha 😂,Neutral,Positive,0.5794,True,True,0.6145
bhai mujhe dekh ke ek dog khud paas aa gaya,Positive,Neutral,0.6903,False,False,0.9992
stranger ka compliment pura din better kar gaya,Positive,Negative,0.5622,False,False,0.9913
kisi ne bina reason “sorry” bola aur chala gaya 😭,Neutral,Negative,0.9919,True,False,0.9064
bhai mujhe kisi aur ka parcel pakda diya aur main bas khada raha,Negative,Negative,0.9778,True,False,0.9993
random interaction surprisingly wholesome tha,Positive,Positive,0.9984,False,True,0.9937
meri alarm tone se mujhe khud irritation hone lagi hai 😭,Negative,Negative,0.9928,True,False,0.8732
"aaj bina snooze kiye uth gaya, unbelievable",Positive,Negative,0.8522,True,False,0.9851
bhai mera phone raat bhar charging pe tha phir bhi 42% hai,Negative,Neutral,0.952,True,False,0.9989
main ek kaam ke liye utha aur dusra hi kaam karne laga 😂,Negative,Negative,0.5859,True,False,0.9175
bhai mera brain aaj loading screen pe hai,Negative,Neutral,0.9902,True,False,0.7418
main ek cheez yaad karne gaya tha aur purani embarrassing memory aa gayi 😂,Negative,Negative,0.9863,True,False,0.6408
aaj ka mood bas blanket aur silence wala hai,Neutral,Negative,0.9268,False,False,0.5691
mujhe random midnight ideas aate hain aur subah sab stupid lagte hain,Neutral,Negative,0.9916,True,False,0.996
aaj patience surprisingly high hai,Positive,Positive,0.9983,False,True,0.9877
bhai mera attention span do reels se zyada nahi hai 😭,Negative,Negative,0.9417,True,False,0.7251
kuch din bas bina explanation ke weird hote hain,Neutral,Negative,0.986,False,False,0.688
aaj literally kuch bhi plan nahi hai aur achha lag raha hai,Positive,Negative,0.9958,False,False,0.998
mera brain ek hi thought ko 17 baar replay kar raha hai 😂,Negative,Negative,0.9921,True,False,0.6328
bhai tu kabse itna punctual ban gaya? suspicious hai 😂,Positive,Negative,0.9837,True,True,0.9329
"maine socha tha woh 10 minute lega, pura season nikal gaya",Negative,Negative,0.9881,True,False,0.9791
"tu aaj unusually quiet hai, sab theek?",Neutral,Neutral,0.4422,False,True,0.9718
bhai tera mood notification se change hota hai kya 😭,Neutral,Neutral,0.5072,True,False,0.9378
aaj sab log strangely energetic lag rahe hain,Neutral,Positive,0.8472,False,True,0.9952
tu ek kaam bolke teen extra kaise add kar deta hai 😂,Negative,Negative,0.9677,True,False,0.9944
bhai tera memory selective hai ya subscription based? 😭,Negative,Neutral,0.9964,True,True,0.8759
bhai ye decision humne collectively galat liya tha,Negative,Negative,0.9762,True,False,0.9902
mujhe lagta hai hum dono ka logic kabhi sync nahi hoga 😭,Negative,Negative,0.9905,True,False,0.9925
tu bina context ke itna confidently bolta kaise hai,Negative,Neutral,0.9266,True,False,0.9968
bhai mujhe pehle hi pata tha tu ye karega 😂,Neutral,Negative,0.9726,True,False,0.9952
tu har situation ko joke bana deta hai 😭,Positive,Negative,0.9914,False,False,0.9071
bhai tu overreact nahi karega toh din incomplete lagta hai kya? 😂,Negative,Negative,0.9911,True,False,0.964
"mujhe laga tu serious hai, phir tera face dekha 😂",Positive,Negative,0.6749,True,False,0.9896
ek random song sunke pura purana phase yaad aa gaya,Neutral,Positive,0.9824,False,False,0.9916
bhai ye gaana unnecessarily addictive hai 😭,Positive,Negative,0.9842,False,True,0.8666
maine ek song skip kiya aur next bhi same vibe ka aa gaya 😂,Neutral,Negative,0.9934,True,False,0.9959
bhai tera music taste kab improve hua? 😂,Positive,Positive,0.6996,True,False,0.5759
ek hi gaana repeat pe sun raha hoon since morning 😭,Neutral,Negative,0.9888,False,False,0.9558
ye old song abhi bhi vibe deta hai,Positive,Negative,0.9652,False,False,0.9988
headphones lagate hi duniya se logout ho jata hoon,Positive,Negative,0.9948,True,False,0.9971
meri playlist mein mood ka koi consistency nahi hai,Neutral,Positive,0.5421,True,True,0.8593
ye song sunke automatically window dekhne ka mann karta hai 😭,Positive,Negative,0.9631,True,False,0.9896
bhai sad song sunke sad hone ki zarurat nahi hai 😂,Neutral,Positive,0.9242,True,False,0.9883
ek gaana hai jo bina reason irritate karta hai,Negative,Negative,0.959,False,True,0.6927
playlist shuffle ne aaj surprisingly good choice ki,Positive,Positive,0.9976,True,False,0.9593
"bhai gaana achha tha, bas volume ne padosiyon se dosti tod di 😂",Negative,Negative,0.5401,True,False,0.9909
meri screen time report dekh ke phone ne mujhe shame kiya 😭,Negative,Negative,0.993,True,False,0.9841
"bhai app khola tha ek minute ke liye, 45 minute kaise ho gaye",Negative,Neutral,0.6333,True,False,0.9987
phone side mein rakha aur 3 minute baad khud hi utha liya 😂,Negative,Negative,0.9844,True,False,0.9705
mujhe lagta hai internet ne meri patience permanently reduce kar di,Negative,Negative,0.9924,True,False,0.991
bhai search history kabhi family ke saamne mat kholna 😭,Negative,Negative,0.9856,True,False,0.9921
ek app uninstall ki aur storage ne thank you bhi nahi bola,Negative,Negative,0.9903,True,False,0.9968
mera feed aaj unusually wholesome hai,Positive,Positive,0.9986,False,True,0.9858
bhai algorithm ne phir wahi topic dikha diya 😂,Negative,Negative,0.9704,True,False,0.9889
password change kiya aur ab khud ko hi access nahi mil raha 😭,Negative,Negative,0.9874,True,False,0.9555
phone ka face unlock aaj mujhe recognize nahi kar raha,Negative,Negative,0.9674,True,False,0.9968
bhai ye pop-up band kaise hoga?,Neutral,Neutral,0.9875,False,True,0.9195
internet gaya aur ghar mein sab suddenly ek doosre se baat karne lage 😂,Positive,Negative,0.7736,True,False,0.5828
app update ke baad buttons hi relocate ho gaye 😭,Negative,Negative,0.9883,True,False,0.8119
mujhe lagta hai mera phone mujhse zyada busy hai,Neutral,Negative,0.9788,True,False,0.9975
ek notification ne pura mood change kar diya,Positive,Negative,0.9451,False,False,0.9971
bhai tu sach mein uss haircut ko good bol raha hai? 😂,Negative,Positive,0.8904,True,False,0.946
ye photo bhejne se pehle tune khud dekhi bhi thi? 😭,Negative,Negative,0.9676,True,False,0.9847
bhai tera bag dekh ke lag raha hai usme pura ghar hai,Neutral,Neutral,0.6701,True,False,0.9991
ye sunglasses mere face pe bilkul suit nahi kar rahe,Negative,Negative,0.488,False,True,0.9726
bhai tu itna perfume kyun laga ke aaya hai 😂,Negative,Negative,0.9829,True,False,0.9252
shoes achhe hain but walking ke liye questionable hain 😭,Negative,Negative,0.9856,False,True,0.8983
bhai ye combination kisne approve kiya? 😂,Negative,Negative,0.8454,True,False,0.8852
aaj mirror ne finally cooperate kiya,Positive,Positive,0.7644,True,False,0.9899
"ye colour pehle weird laga tha, ab actually achha lag raha hai",Positive,Negative,0.8882,False,False,0.8667
bhai tu ready hone mein itna time kaise laga deta hai 😭,Negative,Negative,0.9851,True,False,0.978
"ye bag lightweight hai, finally kuch useful mila",Positive,Positive,0.978,False,True,0.9843
bhai mujhe lag raha hai ye shoes mujhe chalne nahi denge 😂,Negative,Negative,0.9794,True,False,0.9957
bhai tu simple look ko bhi complicated bana deta hai 😂,Negative,Negative,0.9782,True,False,0.9777
honestly aaj ka look unexpectedly sorted lag raha hai,Positive,Negative,0.9632,False,True,0.6591
bhai aaj neighbour ke ghar se itni loud laughter aa rahi thi ki context jaanne ka mann ho gaya 😂,Neutral,Positive,0.5044,True,False,0.9137
meri colony mein aaj kisi ne pura balcony fairy lights se bhar diya,Positive,Negative,0.5958,False,False,0.999
bhai lift mein ek uncle ne bina reason weather discuss karna start kar diya 😭,Neutral,Negative,0.8533,True,False,0.9686
saamne wale ghar ka dog mujhe dekhte hi roz announcement karta hai,Negative,Positive,0.9336,True,False,0.9986
aaj gali mein ek chhota sa puppy mere peeche aa gaya tha 🥹,Positive,Neutral,0.6704,False,False,0.9884
"bhai neighbour ki car roz alag jagah park hoti hai, mystery continues 😂",Neutral,Neutral,0.9796,True,False,0.7227
subah se saamne wale ghar mein shaadi-level decoration chal raha hai 😂,Neutral,Positive,0.8744,True,False,0.9675
aaj society mein ek uncle ne sabko plants ke baare mein lecture de diya,Neutral,Neutral,0.9833,True,False,0.9985
building mein aaj itni silence hai ki suspicious lag rahi hai 😭,Neutral,Negative,0.995,True,True,0.5926
bhai lift ka button kisi ne 14 baar press kiya tha 😂,Negative,Neutral,0.552,True,False,0.978
"aaj colony mein street musician aaya tha, surprisingly achha bajata hai",Positive,Neutral,0.8805,False,True,0.9508
bhai parking ko leke phir kisi ki diplomatic meeting chal rahi hai 😭,Negative,Neutral,0.7336,True,False,0.9926
building ke entrance pe kisi ne tiny plant exchange corner bana diya,Positive,Neutral,0.9974,False,False,0.9977
meri window ke bahar bird ne aaj full concert diya 😂,Positive,Positive,0.5635,True,False,0.9616
"bhai kisi ne meri old nickname se bula diya, flashback aa gaya 😭",Neutral,Negative,0.9904,False,False,0.9939
bhai itne saal baad uska message aaya aur first line hi “yaad hai?” 😂,Neutral,Neutral,0.6789,True,False,0.8095
purane friend se baat karke laga kuch cheezein bilkul nahi badalti,Positive,Negative,0.6868,False,False,0.9988
bhai usne mujhe dekh ke pehle naam bhoola phir pura introduction diya 😭,Negative,Negative,0.9757,True,False,0.9954
bhai childhood wali embarrassing story phir nikal gayi 😂,Negative,Negative,0.9904,True,False,0.9441
bhai hum dono ko abhi bhi wahi stupid joke funny lagta hai 😭,Positive,Negative,0.9604,False,False,0.996
itne time baad milke conversation bilkul awkward nahi hui,Positive,Positive,0.9909,False,True,0.5869
bhai uska contact name abhi bhi purane nickname se saved hai 😂,Neutral,Positive,0.9684,True,False,0.9912
old friend ne ek random photo bheji aur pura context yaad aa gaya,Positive,Neutral,0.9091,False,False,0.9328
bhai reunion plan ban raha hai apparently 👀,Positive,Negative,0.9714,False,False,0.8692
uski voice sunte hi pata chal gaya kaun hai,Positive,Negative,0.8024,False,False,0.953
bhai old group revive ho gaya aur ab sab unnecessarily active hain 😂,Positive,Positive,0.9956,True,False,0.6982
itne saal baad bhi uski teasing same level pe hai 😂,Positive,Positive,0.9959,True,False,0.9792
bhai family group mein kisi ne good morning ke saath 9 photos bhej di 😭,Neutral,Positive,0.3504,True,False,0.9554
"bhai kisi ne group mein 2018 ka photo daal diya, chaos guaranteed 😂",Neutral,Negative,0.6982,True,True,0.7128
family group ka notification count dekh ke dar lag raha hai,Negative,Neutral,0.985,True,False,0.9984
bhai kisi ne random motivational quote subah 6 baje bheja,Neutral,Positive,0.9167,True,False,0.9991
family group mein sabne ek hi message pe alag reactions diye 😂,Neutral,Negative,0.8624,True,False,0.6068
bhai kisi ne wrong family group mein personal message bhej diya 😭,Negative,Negative,0.9822,True,False,0.984
family group mein ek photo se pura discussion start ho gaya,Neutral,Neutral,0.9926,True,False,0.9897
bhai woh uncle har topic ko politics tak kaise le jaate hain 😂,Negative,Negative,0.5794,True,False,0.9826
bhai group mein “important” likha tha aur andar recipe thi 😭,Neutral,Neutral,0.914,True,False,0.9375
family group mein aaj sab ek hi joke pe has rahe hain,Positive,Negative,0.9555,False,False,0.981
bhai kisi ne good night sticker subah bheja hai 😂,Neutral,Positive,0.9897,True,False,0.9845
"group mein ek person silently sab read kar raha hai, mujhe pata hai",Neutral,Neutral,0.9633,True,False,0.9988
bhai kisi ne bina context apni selfie daal di 😂,Neutral,Negative,0.9565,True,False,0.9613
group mein purani photo dekh ke sabki commentary start ho gayi,Positive,Positive,0.992,True,False,0.9985
bhai ab group mein sticker war hone wali hai 😭,Neutral,Negative,0.9935,True,False,0.8912
bhai usne portrait itni jaldi bana diya ki main confuse ho gaya,Positive,Negative,0.9884,False,False,0.9973
mujhe drawing karte karte pata hi nahi chala kitna time ho gaya,Positive,Negative,0.9882,False,False,0.9991
bhai meri sketch aur original object ka koi relation nahi hai 😂,Negative,Neutral,0.8213,True,False,0.8498
meri artistic journey stick figures pe hi atki hui hai 😭,Negative,Negative,0.9937,True,False,0.8277
bhai uska handwriting dekh ke jealousy ho rahi hai,Positive,Negative,0.986,True,False,0.9984
random notebook pe doodle banate banate pura page bhar diya,Positive,Negative,0.5557,False,False,0.9985
"bhai maine jo draw kiya woh concept tha, object nahi 😂",Negative,Negative,0.4878,True,False,0.9548
woh tiny clay figure unnecessarily adorable hai,Positive,Positive,0.9973,False,True,0.9418
maine paper fold kiya aur result suspiciously different nikla 😂,Negative,Negative,0.9729,True,False,0.9028
bhai tera sketching level unexpectedly serious hai,Positive,Positive,0.9959,False,True,0.9886
mujhe random stationery dekh ke unnecessary happiness hoti hai 😭,Positive,Negative,0.9701,False,False,0.5393
ye notebook ka cover itna pretty hai ki use karne ka mann nahi,Positive,Positive,0.9486,True,False,0.9951
bhai fancy pens collect karke main unhe use hi nahi karta 😂,Neutral,Negative,0.9347,True,False,0.9489
bhai tu chess mein itna serious kyun ho jata hai 😂,Negative,Negative,0.975,True,False,0.6625
meri winning strategy first move pe hi khatam ho gayi 😭,Negative,Negative,0.994,True,False,0.5528
bhai woh move genuinely smart tha,Positive,Positive,0.9528,False,True,0.519
mujhe board games ka unnecessary competitive side pasand hai 😂,Positive,Negative,0.9855,True,False,0.524
bhai main game jeetne se zyada rules explain karne mein haar gaya,Negative,Neutral,0.9221,True,False,0.999
usne last second pe pura game reverse kar diya 😭,Negative,Negative,0.9949,True,False,0.938
mujhe lagta hai meri strategy aur reality alag universes mein hain,Negative,Negative,0.9913,True,False,0.9981
bhai tu har game mein cheating ka allegation kyun lagata hai 😂,Negative,Negative,0.9521,True,False,0.9502
ek simple game ne sabko unnecessarily competitive bana diya,Negative,Negative,0.9886,True,False,0.9973
game haar gaya but honestly maza aaya,Positive,Positive,0.994,False,True,0.9994
mujhe rules samajhne mein game khatam ho gaya 😭,Negative,Negative,0.9942,True,False,0.9865
aaj board pe ek move ne pura scene badal diya,Positive,Negative,0.9575,False,False,0.9986
bhai meri strategy ko retirement de dete hain 😂,Negative,Negative,0.9972,True,False,0.847
aaj ek street performance dekha jahan crowd khud participate kar raha tha,Positive,Neutral,0.9796,False,False,0.9986
bhai woh magician actual mein kaise kar raha tha 😭,Positive,Neutral,0.9348,False,False,0.9534
trick samajhne ki koshish ki aur aur confuse ho gaya 😂,Negative,Negative,0.9876,True,False,0.9097
bhai woh guitarist surprisingly talented tha,Positive,Positive,0.9879,False,True,0.8649
random performance ne pura mood improve kar diya,Positive,Neutral,0.5588,False,False,0.9973
bhai crowd se zyada ek uncle enjoy kar rahe the 😭,Positive,Negative,0.5967,True,False,0.9122
bhai us magician ne meri aankhon ko personally insult kar diya 😂,Positive,Negative,0.9805,True,False,0.9118
mujhe abhi tak samajh nahi aaya trick kaise hua,Neutral,Positive,0.8058,False,False,0.9992
woh dancer itna energetic tha ki main dekh ke tired ho gaya 😭,Positive,Negative,0.7271,True,False,0.5838
"bhai kisi ne performance record nahi ki, unbelievable",Negative,Negative,0.835,True,False,0.7251
aaj ka random entertainment free mein mil gaya 😂,Positive,Positive,0.738,True,False,0.8603
bhai ek uncle ne beech mein khud performance start kar di 😭,Positive,Neutral,0.9212,True,False,0.9853
random evening unexpectedly memorable ho gayi,Positive,Positive,0.9983,False,True,0.7157
bhai maine plant ko paani diya aur woh aur sad lag raha hai 😭,Negative,Positive,0.9759,True,False,0.9936
meri gardening skills bas paani dene tak limited hain 😂,Negative,Negative,0.9925,True,False,0.8272
meri plant pot mein mitti zyada hai aur plant kam 😂,Neutral,Neutral,0.5395,True,False,0.8471
bhai balcony mein tiny garden banane ka mann hai,Positive,Neutral,0.991,False,False,0.8964
plant ko sunlight chahiye aur meri balcony khud confused hai 😭,Negative,Negative,0.9745,True,False,0.6015
woh flower unexpectedly bloom kar gaya,Positive,Neutral,0.6902,False,False,0.9418
"bhai maine seed lagaya tha, ab actual plant aa gaya 😭",Positive,Negative,0.7786,False,False,0.9531
"gardening videos dekhna easy hai, actual gardening nahi 😂",Negative,Neutral,0.9352,True,False,0.839
aaj balcony surprisingly peaceful lag rahi thi,Positive,Positive,0.994,False,True,0.9611
"new pot aa gaya, ab plant ko bhi upgrade milega 😂",Positive,Negative,0.6667,True,False,0.97
mujhe indoor plants ka setup genuinely pasand aa raha hai,Positive,Negative,0.9751,False,False,0.9914
plant grow kar raha hai aur main unnecessarily proud hoon 😭,Positive,Positive,0.9825,False,True,0.6961
bhai mera plant mujhse zyada disciplined hai,Positive,Positive,0.9976,True,False,0.9796
"bhai maine ek recipe save ki thi, ab mil nahi rahi",Negative,Negative,0.7395,True,False,0.9988
random food combination surprisingly tasty nikla,Positive,Positive,0.9987,False,True,0.8786
ye chutney expected se zyada spicy hai 😭,Negative,Negative,0.9532,False,True,0.6735
"bhai maine bas taste karna tha, pura bowl finish ho gaya 😂",Positive,Negative,0.7241,True,False,0.9924
mujhe lagta hai presentation se food ka taste 20% better lagta hai 😂,Positive,Negative,0.9842,True,False,0.8863
bhai woh dessert dekhne mein better tha than it tasted 😭,Negative,Negative,0.8757,True,False,0.9461
aaj ghar pe random snack experiment successful hua,Positive,Positive,0.5517,False,True,0.6651
ye sauce har cheez ke saath unexpectedly achha lag raha hai,Positive,Neutral,0.7074,False,False,0.9975
bhai maine recipe follow ki aur phir bhi result alag aa gaya 😂,Negative,Positive,0.8448,True,False,0.9929
new flavour surprisingly nice tha,Positive,Positive,0.9982,False,True,0.995
"mujhe laga ye combination impossible hai, but it works 😭",Positive,Negative,0.8732,False,True,0.7266
bhai ek bite ke baad decide ho gaya ki ye repeat nahi karna,Negative,Neutral,0.4683,True,False,0.9987
aaj ka homemade experiment successful declare kar raha hoon,Positive,Positive,0.998,True,False,0.998
woh crunchy texture actually satisfying tha,Positive,Positive,0.9686,False,True,0.9017
bhai taste test ke naam pe pura packet finish kar diya 😂,Positive,Negative,0.7187,True,False,0.9642
bhai kitchen mein creativity kabhi kabhi dangerous hoti hai 😭,Negative,Negative,0.9919,True,False,0.9883
bhai horoscope padha aur usme meri problem ka solution shopping tha 😂,Positive,Positive,0.9557,True,False,0.7514
aaj randomly astrology wali conversation start ho gayi,Neutral,Positive,0.6038,False,False,0.9568
bhai mera lucky number bhi aaj kaam nahi aaya 😂,Negative,Positive,0.9884,True,False,0.9648
random personality quiz ne mujhe unnecessarily expose kar diya,Negative,Negative,0.9822,True,False,0.9531
bhai internet ne mujhe phir bata diya main kaunsa fictional character hoon 😭,Neutral,Negative,0.9896,True,False,0.997
woh compatibility result dekh ke sab hasne lage 😂,Positive,Negative,0.9505,True,False,0.9815
mujhe aise random quizzes unnecessarily entertaining lagte hain,Positive,Negative,0.9681,False,False,0.8932
bhai personality test ne mere baare mein zyada confidence se bola,Neutral,Positive,0.9976,True,False,0.9986
result itna generic tha ki sab pe fit ho raha tha 😂,Negative,Negative,0.9956,True,False,0.9797
bhai quiz ne mujhe introvert bola aur main offended ho gaya 😭,Negative,Negative,0.9903,True,False,0.974
mujhe lagta hai internet ke quizzes bas humari curiosity exploit karte hain 😂,Neutral,Negative,0.9948,True,False,0.9445
bhai lucky charm ka concept oddly interesting hai,Positive,Positive,0.9982,False,True,0.9121
maine prediction ignore ki aur phir wahi cheez ho gayi 😭,Neutral,Negative,0.9938,True,False,0.8329
bhai astrology discussion kab serious ho gayi pata hi nahi chala,Neutral,Positive,0.7516,False,False,0.998
random quiz ne pura group discussion start kar diya 😂,Positive,Negative,0.9767,True,False,0.9848
old objects dekh ke samajh aata hai technology kitni change hui,Neutral,Negative,0.9856,False,False,0.9978
bhai woh radio abhi bhi working condition mein tha 😭,Positive,Neutral,0.6495,False,False,0.9909
bhai ye machine dekh ke samajh hi nahi aa raha kaam kya karti thi 😂,Neutral,Negative,0.9394,True,False,0.9938
aaj ek antique clock dekhi jo still chal rahi thi,Positive,Neutral,0.9965,False,False,0.9796
bhai purani cheezon mein unnecessary character hota hai 😂,Positive,Negative,0.968,True,False,0.8668
bhai woh old telephone dekh ke laga movie set hai 😭,Positive,Negative,0.7678,True,False,0.9737
museum ka ek corner surprisingly engaging tha,Positive,Positive,0.9924,False,True,0.621
old maps dekh ke travel ka alag hi feel aata hai,Positive,Negative,0.9624,False,False,0.9945
aaj random historical object ne mera attention pakad liya,Positive,Neutral,0.7684,False,False,0.9001
bhai kisi ne terrace pe kite uda di aur string tree mein atak gayi 😭,Negative,Negative,0.6842,True,False,0.9694
meri kite hawa se zyada mere against thi 😂,Negative,Negative,0.9901,True,False,0.9919
bhai woh kite literally last second pe cut ho gayi,Negative,Negative,0.9406,True,False,0.8875
aaj terrace pe sab unexpectedly excited the,Positive,Positive,0.9939,False,True,0.9984
bhai string untangle karte karte patience khatam ho gaya 😭,Negative,Negative,0.9931,True,False,0.9232
sky mein sunset aur kites ka combination beautiful tha,Positive,Positive,0.9982,False,True,0.6136
bhai kisi ne reel banate banate kite almost lose kar di 😭,Negative,Negative,0.9954,True,False,0.9391
kite ke peeche bhaagte hue log dekh ke hasi aa rahi thi 😂,Positive,Negative,0.9905,True,False,0.9878
bhai meri kite ki direction mujhe bhi nahi pata,Neutral,Neutral,0.5896,True,False,0.9991
bhai ek kite tree pe permanently settle ho gayi 😂,Negative,Neutral,0.7261,True,False,0.8966
aaj sky unusually colourful tha,Positive,Positive,0.9985,False,True,0.9902
bhai terrace pe jaake pata chala sab already expert hain 😭,Negative,Neutral,0.5573,True,False,0.8444
aaj ek book randomly mili aur first page hi interesting tha,Positive,Neutral,0.6432,False,False,0.7896
ye story ka twist genuinely unexpected tha 😭,Positive,Positive,0.9931,False,True,0.9398
maine ek chapter padha aur phir rukne ka mann hi nahi hua,Positive,Negative,0.9459,False,False,0.9988
bhai character ne itna stupid decision liya ki main irritate ho gaya 😂,Negative,Negative,0.9951,True,False,0.5631
bhai ending ne pura mood change kar diya 😭,Positive,Negative,0.9952,False,False,0.9848
book interesting hai but pace thoda slow hai,Neutral,Negative,0.5186,False,True,0.5729
maine spoiler avoid karne ke liye internet se distance bana liya 😂,Positive,Negative,0.8073,True,False,0.7481
"bhai kisi ne mujhe ending bata di, ab trust issues hain 😭",Negative,Negative,0.9939,True,False,0.9852
woh dialogue unexpectedly funny tha,Positive,Positive,0.998,False,True,0.7319
"mujhe laga story predictable hogi, but nahi",Positive,Neutral,0.9965,False,False,0.9154
bhai protagonist ka decision dekh ke phone side mein rakh diya 😂,Negative,Negative,0.9582,True,False,0.8522
ye book ka cover story se zyada interesting hai 😭,Negative,Negative,0.7465,True,False,0.5274
aaj reading unexpectedly relaxing lagi,Positive,Positive,0.9981,False,True,0.9588
"bhai villain ka point samajh aa raha hai, problem hai 😂",Neutral,Negative,0.8739,True,False,0.9654
story mein ek twist ne sab change kar diya,Positive,Negative,0.5153,False,False,0.9963
bhai us fact ka mujhe bilkul idea nahi tha,Positive,Neutral,0.8272,False,False,0.9989
internet pe random facts rabbit hole start ho gaya 😂,Neutral,Negative,0.9818,True,True,0.5169
maine ek video khola aur somehow completely different topic tak pahunch gaya,Neutral,Neutral,0.8837,True,False,0.9795
bhai ye information useless hai but strangely interesting 😭,Positive,Negative,0.9041,True,True,0.9624
mujhe random history facts unnecessarily addictive lagte hain,Positive,Negative,0.993,False,False,0.8472
bhai ek video ne pura perspective change kar diya,Positive,Negative,0.9159,False,False,0.9989
"maine bas ek fact search kiya tha, ab 14 tabs open hain 😂",Neutral,Negative,0.6644,True,False,0.8826
ye documentary expected se emotional nikli,Positive,Negative,0.9684,False,True,0.6865
bhai narrator ki voice hi itni calming hai 😭,Positive,Negative,0.7176,True,False,0.8547
random science fact sunke main genuinely surprised tha,Positive,Positive,0.9948,False,True,0.6955
"mujhe laga topic boring hoga, actually kaafi interesting tha",Positive,Negative,0.9053,False,False,0.956
bhai internet pe curiosity ka koi end nahi hai 😂,Neutral,Positive,0.8866,True,False,0.8315
aaj ek strange fact pata chala aur ab sabko bata raha hoon,Positive,Negative,0.9863,True,False,0.9989
bhai random knowledge dump ke liye ready ho ja 😂,Positive,Positive,0.3871,True,False,0.7304
"maine ek documentary pause karke notes nahi, memes dekhe 😭",Negative,Negative,0.6102,True,False,0.9183
ye topic unexpectedly fascinating hai,Positive,Positive,0.9976,False,True,0.9962
random video recommendation aaj actually useful thi,Positive,Positive,0.9981,False,True,0.7483
bhai kisi ne meri taraf se booking kar di thi aur mujhe bataya hi nahi 😭,Negative,Negative,0.9929,True,False,0.9922
plan last minute change hua but honestly better ho gaya,Positive,Neutral,0.9366,False,True,0.9374
"mujhe laga plan cancel hoga, suddenly sab ready the 😂",Positive,Negative,0.9735,True,False,0.515
bhai itinerary dekh ke lag raha hai hum vacation nahi marathon karne ja rahe hain,Negative,Neutral,0.6564,True,False,0.9986
spontaneous plan surprisingly fun nikla,Positive,Positive,0.9987,False,True,0.9801
"kisi ne exact location bheji hi nahi, sab “bas aa ja” bol rahe hain 😭",Negative,Negative,0.9892,True,False,0.948
"bhai plan banane mein sab excited, execute karne mein missing",Negative,Negative,0.8124,True,False,0.9495
mujhe last-minute plans unexpectedly pasand aane lage hain,Positive,Negative,0.987,False,False,0.8513
bhai sabne alag destination samjha tha 😭,Negative,Negative,0.5711,True,False,0.9943
plan change hua aur actually timing better ho gayi,Positive,Neutral,0.6508,False,False,0.8508
kisi ne weather check kiya tha ya bas optimism tha? 😂,Negative,Neutral,0.9445,True,False,0.71
